section	path_group	source_clock	destination_clock	wns_ns	tns_ns	setup_failing_endpoints	whs_ns	ths_ns	hold_failing_endpoints
Intra Clock Table	clk_pl_0	clk_pl_0	clk_pl_0	5.212	0.0	0	-0.08	-122.254	6314
Intra Clock Table	clk_pl_1	clk_pl_1	clk_pl_1	37.556	0.0	0	-0.081	-11.984	579
Intra Clock Table	eth_refclk	eth_refclk	eth_refclk	5.438	0.0	0	-0.007	-0.009	2
Intra Clock Table	gen_gtwizard_gthe4.rxoutclkpcs_int[0]	gen_gtwizard_gthe4.rxoutclkpcs_int[0]	gen_gtwizard_gthe4.rxoutclkpcs_int[0]	2.226	0.0	0	-0.008	-0.108	15
Intra Clock Table	gen_gtwizard_gthe4.rxoutclkpcs_int[0]_1	gen_gtwizard_gthe4.rxoutclkpcs_int[0]_1	gen_gtwizard_gthe4.rxoutclkpcs_int[0]_1	2.226	0.0	0	-0.008	-0.108	15
Intra Clock Table	gen_gtwizard_gthe4.rxoutclkpcs_int[0]_2	gen_gtwizard_gthe4.rxoutclkpcs_int[0]_2	gen_gtwizard_gthe4.rxoutclkpcs_int[0]_2	2.226	0.0	0	-0.008	-0.108	15
Intra Clock Table	gen_gtwizard_gthe4.rxoutclkpcs_int[0]_3	gen_gtwizard_gthe4.rxoutclkpcs_int[0]_3	gen_gtwizard_gthe4.rxoutclkpcs_int[0]_3	2.226	0.0	0	-0.008	-0.108	15
Intra Clock Table	rx_clk_array[0]	rx_clk_array[0]	rx_clk_array[0]	4.319	0.0	0	-0.201	-42.579	1292
Intra Clock Table	rx_clk_array[1]	rx_clk_array[1]	rx_clk_array[1]	4.319	0.0	0	-0.201	-42.57	1290
Intra Clock Table	rx_clk_array[2]	rx_clk_array[2]	rx_clk_array[2]	4.319	0.0	0	-0.201	-42.57	1290
Intra Clock Table	rx_clk_array[3]	rx_clk_array[3]	rx_clk_array[3]	4.319	0.0	0	-0.201	-42.57	1290
Intra Clock Table	tx_clk_array[0]	tx_clk_array[0]	tx_clk_array[0]	3.764	0.0	0	-0.394	-50.195	1737
Intra Clock Table	tx_clk_array[1]	tx_clk_array[1]	tx_clk_array[1]	3.764	0.0	0	-0.394	-50.179	1734
Intra Clock Table	tx_clk_array[2]	tx_clk_array[2]	tx_clk_array[2]	3.764	0.0	0	-0.394	-50.228	1741
Intra Clock Table	tx_clk_array[3]	tx_clk_array[3]	tx_clk_array[3]	3.764	0.0	0	-0.394	-50.221	1740
Intra Clock Table	clku4x	clku4x	clku4x	2.29	0.0	0	-0.005	-0.009	2
Intra Clock Table	frontend_word_clk	frontend_word_clk	frontend_word_clk	13.257	0.0	0	-0.088	-11.38	306
Intra Clock Table	frontend_clock	frontend_clock	frontend_clock	6.19	0.0	0	-0.058	-3050.42	73929
Intra Clock Table	clock_raw_s_1	clock_raw_s_1	clock_raw_s_1	-0.161	-6.081	96	-0.033	-16.92	1007
Intra Clock Table	mmcm1_clkout0_1	mmcm1_clkout0_1	mmcm1_clkout0_1	1.5	0.0	0	-0.008	-0.008	1
Intra Clock Table	clk125_1	clk125_1	clk125_1	6.282	0.0	0	-0.023	-9.611	422
Intra Clock Table	mmcm0_inst_n_8	mmcm0_inst_n_8	mmcm0_inst_n_8	8.218	0.0	0	-0.033	-0.572	41
Inter Clock Table	clk_pl_0	rx_clk_array[0]	clk_pl_0	-0.249	-0.249	1	-0.147	-0.147	1
